"Year","Field","Value","Unit"
"1989","total energy consumed by the commercial sector Tennessee","206732","billion btu},"
"1990","total energy consumed by the commercial sector Tennessee","209442","billion btu},"
"1991","total energy consumed by the commercial sector Tennessee","211326","billion btu},"
"1992","total energy consumed by the commercial sector Tennessee","149344","billion btu},"
"1993","total energy consumed by the commercial sector Tennessee","136923","billion btu},"
"1994","total energy consumed by the commercial sector Tennessee","134964","billion btu},"
"1995","total energy consumed by the commercial sector Tennessee","136371","billion btu},"
"1996","total energy consumed by the commercial sector Tennessee","149664","billion btu},"
"1997","total energy consumed by the commercial sector Tennessee","358219","billion btu},"
"1998","total energy consumed by the commercial sector Tennessee","357850","billion btu},"
"1999","total energy consumed by the commercial sector Tennessee","366919","billion btu},"
"2000","total energy consumed by the commercial sector Tennessee","374732","billion btu},"
"1960","total energy consumed by the commercial sector United States","4604662","billion btu"
"1961","total energy consumed by the commercial sector United States","4723224","billion btu"
"1962","total energy consumed by the commercial sector United States","5032369","billion btu"
"1963","total energy consumed by the commercial sector United States","5244424","billion btu"
"1964","total energy consumed by the commercial sector United States","5460190","billion btu"
"1965","total energy consumed by the commercial sector United States","5840164","billion btu"
"1966","total energy consumed by the commercial sector United States","6318543","billion btu"
"1967","total energy consumed by the commercial sector United States","6895401","billion btu"
"1968","total energy consumed by the commercial sector United States","7326545","billion btu"
"1969","total energy consumed by the commercial sector United States","7828079","billion btu"
"1970","total energy consumed by the commercial sector United States","8326390","billion btu"
"1971","total energy consumed by the commercial sector United States","8701185","billion btu"
"1972","total energy consumed by the commercial sector United States","9188250","billion btu"
"1973","total energy consumed by the commercial sector United States","9553316","billion btu"
"1974","total energy consumed by the commercial sector United States","9391102","billion btu"
"1975","total energy consumed by the commercial sector United States","9488789","billion btu"
"1976","total energy consumed by the commercial sector United States","10065628","billion btu"
"1977","total energy consumed by the commercial sector United States","10205708","billion btu"
"1978","total energy consumed by the commercial sector United States","10515327","billion btu"
"1979","total energy consumed by the commercial sector United States","10650170","billion btu"
"1980","total energy consumed by the commercial sector United States","10575836","billion btu"
"1981","total energy consumed by the commercial sector United States","10614571","billion btu"
"1982","total energy consumed by the commercial sector United States","10839692","billion btu"
"1983","total energy consumed by the commercial sector United States","10923499","billion btu"
"1984","total energy consumed by the commercial sector United States","11416762","billion btu"
"1985","total energy consumed by the commercial sector United States","11455535","billion btu"
"1986","total energy consumed by the commercial sector United States","11591178","billion btu"
"1987","total energy consumed by the commercial sector United States","11920679","billion btu"
"1988","total energy consumed by the commercial sector United States","12580687","billion btu"
"1989","total energy consumed by the commercial sector United States","13186046","billion btu"
"1991","total energy consumed by the commercial sector United States","13516458","billion btu"
"1992","total energy consumed by the commercial sector United States","13461010","billion btu"
"1993","total energy consumed by the commercial sector United States","13840597","billion btu"
"1994","total energy consumed by the commercial sector United States","14107345","billion btu"
"1995","total energy consumed by the commercial sector United States","14712263","billion btu"
"1996","total energy consumed by the commercial sector United States","15198014","billion btu"
"1997","total energy consumed by the commercial sector United States","15720797","billion btu"
"1998","total energy consumed by the commercial sector United States","16011509","billion btu"
"1999","total energy consumed by the commercial sector United States","16418913","billion btu"
"2000","total energy consumed by the commercial sector United States","17197535","billion btu"
"1960","total energy consumed by the commercial sector Tennessee","72122","billion btu},"
"1961","total energy consumed by the commercial sector Tennessee","80291","billion btu},"
"1962","total energy consumed by the commercial sector Tennessee","89430","billion btu},"
"1963","total energy consumed by the commercial sector Tennessee","82368","billion btu},"
"1964","total energy consumed by the commercial sector Tennessee","86529","billion btu},"
"1965","total energy consumed by the commercial sector Tennessee","91258","billion btu},"
"1966","total energy consumed by the commercial sector Tennessee","99317","billion btu},"
"1967","total energy consumed by the commercial sector Tennessee","106189","billion btu},"
"1968","total energy consumed by the commercial sector Tennessee","117244","billion btu},"
"1969","total energy consumed by the commercial sector Tennessee","126692","billion btu},"
"1970","total energy consumed by the commercial sector Tennessee","132601","billion btu},"
"1971","total energy consumed by the commercial sector Tennessee","140892","billion btu},"
"1972","total energy consumed by the commercial sector Tennessee","149237","billion btu},"
"1973","total energy consumed by the commercial sector Tennessee","156187","billion btu},"
"1974","total energy consumed by the commercial sector Tennessee","153968","billion btu},"
"1975","total energy consumed by the commercial sector Tennessee","145341","billion btu},"
"1976","total energy consumed by the commercial sector Tennessee","147682","billion btu},"
"1977","total energy consumed by the commercial sector Tennessee","174093","billion btu},"
"1978","total energy consumed by the commercial sector Tennessee","206824","billion btu},"
"1979","total energy consumed by the commercial sector Tennessee","219256","billion btu},"
"1980","total energy consumed by the commercial sector Tennessee","225280","billion btu},"
"1981","total energy consumed by the commercial sector Tennessee","233266","billion btu},"
"1982","total energy consumed by the commercial sector Tennessee","235815","billion btu},"
"1983","total energy consumed by the commercial sector Tennessee","256819","billion btu},"
"1984","total energy consumed by the commercial sector Tennessee","185584","billion btu},"
"1985","total energy consumed by the commercial sector Tennessee","182642","billion btu},"
"1986","total energy consumed by the commercial sector Tennessee","167366","billion btu},"
"1987","total energy consumed by the commercial sector Tennessee","171938","billion btu},"
"1988","total energy consumed by the commercial sector Tennessee","179768","billion btu},"
"1990","total energy consumed by the commercial sector United States","13334428","billion btu"
"2001","total energy consumed by the commercial sector United States","17160441","billion btu"
"2002","total energy consumed by the commercial sector United States","17367879","billion btu"
"2005","total energy consumed by the commercial sector United States","17840454","billion btu"
"2001","total energy consumed by the commercial sector Tennessee","371674","billion btu},"
"2002","total energy consumed by the commercial sector Tennessee","370809","billion btu},"
"2005","total energy consumed by the commercial sector Tennessee","390394","billion btu},"
"2017","total energy consumed by the commercial sector Tennessee","432721","billion btu},"
"2017","total energy consumed by the commercial sector United States","17864726","billion btu"
"2015","total energy consumed by the commercial sector Tennessee","448326","billion btu},"
"2004","total energy consumed by the commercial sector United States","17665228","billion btu"
"2010","total energy consumed by the commercial sector Tennessee","399984","billion btu},"
"2011","total energy consumed by the commercial sector Tennessee","386875","billion btu},"
"2006","total energy consumed by the commercial sector Tennessee","388679","billion btu},"
"2006","total energy consumed by the commercial sector United States","17700965","billion btu"
"2007","total energy consumed by the commercial sector Tennessee","399723","billion btu},"
"2009","total energy consumed by the commercial sector Tennessee","377044","billion btu},"
"2007","total energy consumed by the commercial sector United States","18209989","billion btu"
"2008","total energy consumed by the commercial sector Tennessee","396016","billion btu},"
"2008","total energy consumed by the commercial sector United States","18350766","billion btu"
"2003","total energy consumed by the commercial sector United States","17356574","billion btu"
"2010","total energy consumed by the commercial sector United States","18017353","billion btu"
"2003","total energy consumed by the commercial sector Tennessee","376754","billion btu},"
"2012","total energy consumed by the commercial sector Tennessee","361618","billion btu},"
"2004","total energy consumed by the commercial sector Tennessee","383813","billion btu},"
"2009","total energy consumed by the commercial sector United States","17850032","billion btu"
"2015","total energy consumed by the commercial sector United States","18110389","billion btu"
"2011","total energy consumed by the commercial sector United States","17940816","billion btu"
"2012","total energy consumed by the commercial sector United States","17365126","billion btu"
"2019","total energy consumed by the commercial sector Tennessee","447704","billion btu},"
"2019","total energy consumed by the commercial sector United States","17984045","billion btu"
"2018","total energy consumed by the commercial sector United States","18416647","billion btu"
"2018","total energy consumed by the commercial sector Tennessee","469152","billion btu},"
"2020","total energy consumed by the commercial sector United States","16732585","billion btu"
"2016","total energy consumed by the commercial sector Tennessee","453557","billion btu},"
"2016","total energy consumed by the commercial sector United States","17990822","billion btu"
"2020","total energy consumed by the commercial sector Tennessee","411884","billion btu},"
"1960","total energy consumed by the electric power sector United States","8156973","billion btu"
"1961","total energy consumed by the electric power sector United States","8451672","billion btu"
"1962","total energy consumed by the electric power sector United States","9027590","billion btu"
"1963","total energy consumed by the electric power sector United States","9633531","billion btu"
"1964","total energy consumed by the electric power sector United States","10325462","billion btu"
"1965","total energy consumed by the electric power sector United States","11025629","billion btu"
"1966","total energy consumed by the electric power sector United States","11999503","billion btu"
"1967","total energy consumed by the electric power sector United States","12713020","billion btu"
"1968","total energy consumed by the electric power sector United States","13899552","billion btu"
"1969","total energy consumed by the electric power sector United States","15180137","billion btu"
"1970","total energy consumed by the electric power sector United States","16247746","billion btu"
"1971","total energy consumed by the electric power sector United States","17110473","billion btu"
"1972","total energy consumed by the electric power sector United States","18482409","billion btu"
"1973","total energy consumed by the electric power sector United States","19721801","billion btu"
"1974","total energy consumed by the electric power sector United States","19902184","billion btu"
"1975","total energy consumed by the electric power sector United States","20265511","billion btu"
"1976","total energy consumed by the electric power sector United States","21484563","billion btu"
"1977","total energy consumed by the electric power sector United States","22545459","billion btu"
"1978","total energy consumed by the electric power sector United States","23564742","billion btu"
"1979","total energy consumed by the electric power sector United States","23945259","billion btu"
"1980","total energy consumed by the electric power sector United States","24324399","billion btu"
"1981","total energy consumed by the electric power sector United States","24486837","billion btu"
"1982","total energy consumed by the electric power sector United States","23953700","billion btu"
"1983","total energy consumed by the electric power sector United States","24600825","billion btu"
"1984","total energy consumed by the electric power sector United States","25589606","billion btu"
"1985","total energy consumed by the electric power sector United States","26093891","billion btu"
"1986","total energy consumed by the electric power sector United States","26217282","billion btu"
"1987","total energy consumed by the electric power sector United States","26942577","billion btu"
"1988","total energy consumed by the electric power sector United States","28274388","billion btu"
"1989","total energy consumed by the electric power sector United States","29881381","billion btu"
"1990","total energy consumed by the electric power sector United States","30510355","billion btu"
"1991","total energy consumed by the electric power sector United States","30867954","billion btu"
"1992","total energy consumed by the electric power sector United States","30737406","billion btu"
"1993","total energy consumed by the electric power sector United States","31860085","billion btu"
"1994","total energy consumed by the electric power sector United States","32412456","billion btu"
"1995","total energy consumed by the electric power sector United States","33495365","billion btu"
"1996","total energy consumed by the electric power sector United States","34497168","billion btu"
"1997","total energy consumed by the electric power sector United States","34899402","billion btu"
"1998","total energy consumed by the electric power sector United States","36240040","billion btu"
"1999","total energy consumed by the electric power sector United States","36989517","billion btu"
"2000","total energy consumed by the electric power sector United States","38079049","billion btu"
"2001","total energy consumed by the electric power sector United States","37245293","billion btu"
"2002","total energy consumed by the electric power sector United States","38034497","billion btu"
"2005","total energy consumed by the electric power sector United States","39635034","billion btu"
"2013","total energy consumed by the electric power sector Tennessee","780001","billion btu},"
"2013","total energy consumed by the electric power sector United States","38374061","billion btu"
"2014","total energy consumed by the electric power sector United States","38647765","billion btu"
"2014","total energy consumed by the electric power sector Tennessee","789215","billion btu},"
"1993","total energy consumed by the electric power sector Tennessee","714934","billion btu},"
"1994","total energy consumed by the electric power sector Tennessee","760172","billion btu},"
"1995","total energy consumed by the electric power sector Tennessee","831215","billion btu},"
"1996","total energy consumed by the electric power sector Tennessee","909878","billion btu},"
"1997","total energy consumed by the electric power sector Tennessee","952684","billion btu},"
"1998","total energy consumed by the electric power sector Tennessee","980013","billion btu},"
"1999","total energy consumed by the electric power sector Tennessee","933234","billion btu},"
"2000","total energy consumed by the electric power sector Tennessee","956006","billion btu},"
"2001","total energy consumed by the electric power sector Tennessee","966160","billion btu},"
"2002","total energy consumed by the electric power sector Tennessee","935454","billion btu},"
"2005","total energy consumed by the electric power sector Tennessee","959275","billion btu},"
"2010","total energy consumed by the electric power sector Tennessee","838688","billion btu},"
"1960","total energy consumed by the electric power sector Tennessee","392619","billion btu},"
"1961","total energy consumed by the electric power sector Tennessee","370345","billion btu},"
"1962","total energy consumed by the electric power sector Tennessee","375810","billion btu},"
"1963","total energy consumed by the electric power sector Tennessee","387026","billion btu},"
"1964","total energy consumed by the electric power sector Tennessee","358814","billion btu},"
"1965","total energy consumed by the electric power sector Tennessee","359394","billion btu},"
"1966","total energy consumed by the electric power sector Tennessee","372280","billion btu},"
"1967","total energy consumed by the electric power sector Tennessee","388669","billion btu},"
"1968","total energy consumed by the electric power sector Tennessee","446343","billion btu},"
"1969","total energy consumed by the electric power sector Tennessee","451381","billion btu},"
"1970","total energy consumed by the electric power sector Tennessee","435023","billion btu},"
"1971","total energy consumed by the electric power sector Tennessee","427853","billion btu},"
"1972","total energy consumed by the electric power sector Tennessee","514304","billion btu},"
"1973","total energy consumed by the electric power sector Tennessee","597796","billion btu},"
"1974","total energy consumed by the electric power sector Tennessee","530356","billion btu},"
"1975","total energy consumed by the electric power sector Tennessee","544809","billion btu},"
"1976","total energy consumed by the electric power sector Tennessee","614549","billion btu},"
"1977","total energy consumed by the electric power sector Tennessee","611763","billion btu},"
"1978","total energy consumed by the electric power sector Tennessee","609062","billion btu},"
"1979","total energy consumed by the electric power sector Tennessee","594978","billion btu},"
"1980","total energy consumed by the electric power sector Tennessee","604309","billion btu},"
"1981","total energy consumed by the electric power sector Tennessee","591983","billion btu},"
"1982","total energy consumed by the electric power sector Tennessee","606179","billion btu},"
"1983","total energy consumed by the electric power sector Tennessee","699578","billion btu},"
"1984","total energy consumed by the electric power sector Tennessee","694149","billion btu},"
"1985","total energy consumed by the electric power sector Tennessee","665751","billion btu},"
"1986","total energy consumed by the electric power sector Tennessee","557231","billion btu},"
"1987","total energy consumed by the electric power sector Tennessee","574830","billion btu},"
"1988","total energy consumed by the electric power sector Tennessee","597647","billion btu},"
"1989","total energy consumed by the electric power sector Tennessee","752139","billion btu},"
"1990","total energy consumed by the electric power sector Tennessee","752652","billion btu},"
"1991","total energy consumed by the electric power sector Tennessee","756764","billion btu},"
"1992","total energy consumed by the electric power sector Tennessee","762666","billion btu},"
"2010","total energy consumed by the electric power sector United States","39637160","billion btu"
"2015","total energy consumed by the electric power sector Tennessee","738579","billion btu},"
"2017","total energy consumed by the electric power sector Tennessee","787470","billion btu},"
"2017","total energy consumed by the electric power sector United States","37256169","billion btu"
"2004","total energy consumed by the electric power sector United States","38705055","billion btu"
"2008","total energy consumed by the electric power sector Tennessee","910583","billion btu},"
"2008","total energy consumed by the electric power sector United States","39979135","billion btu"
"2011","total energy consumed by the electric power sector Tennessee","816639","billion btu},"
"2006","total energy consumed by the electric power sector United States","39423299","billion btu"
"2003","total energy consumed by the electric power sector United States","38031754","billion btu"
"2012","total energy consumed by the electric power sector Tennessee","760089","billion btu},"
"2007","total energy consumed by the electric power sector United States","40380816","billion btu"
"2004","total energy consumed by the electric power sector Tennessee","961748","billion btu},"
"2009","total energy consumed by the electric power sector Tennessee","797628","billion btu},"
"2003","total energy consumed by the electric power sector Tennessee","905976","billion btu},"
"2007","total energy consumed by the electric power sector Tennessee","953078","billion btu},"
"2009","total energy consumed by the electric power sector United States","38081040","billion btu"
"2006","total energy consumed by the electric power sector Tennessee","935764","billion btu},"
"2011","total energy consumed by the electric power sector United States","39310609","billion btu"
"2012","total energy consumed by the electric power sector United States","38151544","billion btu"
"2015","total energy consumed by the electric power sector United States","37901687","billion btu"
"2016","total energy consumed by the electric power sector Tennessee","792732","billion btu},"
"2019","total energy consumed by the electric power sector United States","37022412","billion btu"
"2019","total energy consumed by the electric power sector Tennessee","772050","billion btu},"
"2018","total energy consumed by the electric power sector United States","38182669","billion btu"
"2018","total energy consumed by the electric power sector Tennessee","794051","billion btu},"
"2016","total energy consumed by the electric power sector United States","37743243","billion btu"
"2020","total energy consumed by the electric power sector United States","35611606","billion btu"
"2020","total energy consumed by the electric power sector Tennessee","758310","billion btu},"
"2013","total energy consumed by the industrial sector United States","31595381","billion btu"
"2013","total energy consumed by the industrial sector Tennessee","579469","billion btu},"
"2014","total energy consumed by the industrial sector United States","31780391","billion btu"
"2014","total energy consumed by the industrial sector Tennessee","595010","billion btu},"
"1960","total energy consumed by the industrial sector Tennessee","531078","billion btu},"
"1961","total energy consumed by the industrial sector Tennessee","525265","billion btu},"
"1962","total energy consumed by the industrial sector Tennessee","527870","billion btu},"
"1963","total energy consumed by the industrial sector Tennessee","554937","billion btu},"
"1964","total energy consumed by the industrial sector Tennessee","570882","billion btu},"
"1965","total energy consumed by the industrial sector Tennessee","598142","billion btu},"
"1966","total energy consumed by the industrial sector Tennessee","647088","billion btu},"
"1967","total energy consumed by the industrial sector Tennessee","632299","billion btu},"
"1968","total energy consumed by the industrial sector Tennessee","623025","billion btu},"
"1960","total energy consumed by the industrial sector United States","20799142","billion btu"
"1977","total energy consumed by the industrial sector Tennessee","792035","billion btu},"
"1978","total energy consumed by the industrial sector Tennessee","723286","billion btu},"
"1979","total energy consumed by the industrial sector Tennessee","750785","billion btu},"
"1980","total energy consumed by the industrial sector Tennessee","709949","billion btu},"
"1981","total energy consumed by the industrial sector Tennessee","694277","billion btu},"
"1982","total energy consumed by the industrial sector Tennessee","611165","billion btu},"
"1983","total energy consumed by the industrial sector Tennessee","645907","billion btu},"
"1984","total energy consumed by the industrial sector Tennessee","741640","billion btu},"
"1985","total energy consumed by the industrial sector Tennessee","721549","billion btu},"
"1986","total energy consumed by the industrial sector Tennessee","699094","billion btu},"
"1987","total energy consumed by the industrial sector Tennessee","700886","billion btu},"
"1988","total energy consumed by the industrial sector Tennessee","735155","billion btu},"
"1989","total energy consumed by the industrial sector Tennessee","732537","billion btu},"
"1990","total energy consumed by the industrial sector Tennessee","730290","billion btu},"
"1991","total energy consumed by the industrial sector Tennessee","737555","billion btu},"
"1992","total energy consumed by the industrial sector Tennessee","823919","billion btu},"
"1993","total energy consumed by the industrial sector Tennessee","836283","billion btu},"
"1969","total energy consumed by the industrial sector Tennessee","629132","billion btu},"
"1970","total energy consumed by the industrial sector Tennessee","623505","billion btu},"
"1971","total energy consumed by the industrial sector Tennessee","602387","billion btu},"
"1972","total energy consumed by the industrial sector Tennessee","654452","billion btu},"
"1973","total energy consumed by the industrial sector Tennessee","749214","billion btu},"
"1974","total energy consumed by the industrial sector Tennessee","732328","billion btu},"
"1975","total energy consumed by the industrial sector Tennessee","728164","billion btu},"
"1976","total energy consumed by the industrial sector Tennessee","805501","billion btu},"
"1994","total energy consumed by the industrial sector Tennessee","850075","billion btu},"
"1995","total energy consumed by the industrial sector Tennessee","862284","billion btu},"
"1996","total energy consumed by the industrial sector Tennessee","870902","billion btu},"
"1997","total energy consumed by the industrial sector Tennessee","676010","billion btu},"
"1998","total energy consumed by the industrial sector Tennessee","724893","billion btu},"
"1999","total energy consumed by the industrial sector Tennessee","736057","billion btu},"
"2000","total energy consumed by the industrial sector Tennessee","731073","billion btu},"
"1961","total energy consumed by the industrial sector United States","20911596","billion btu"
"1962","total energy consumed by the industrial sector United States","21744102","billion btu"
"1963","total energy consumed by the industrial sector United States","22723720","billion btu"
"1964","total energy consumed by the industrial sector United States","24074837","billion btu"
"1965","total energy consumed by the industrial sector United States","25059309","billion btu"
"1966","total energy consumed by the industrial sector United States","26384869","billion btu"
"1967","total energy consumed by the industrial sector United States","26638484","billion btu"
"1968","total energy consumed by the industrial sector United States","27880000","billion btu"
"1969","total energy consumed by the industrial sector United States","29084702","billion btu"
"1970","total energy consumed by the industrial sector United States","29570866","billion btu"
"1971","total energy consumed by the industrial sector United States","29526268","billion btu"
"1972","total energy consumed by the industrial sector United States","30911095","billion btu"
"1973","total energy consumed by the industrial sector United States","32635711","billion btu"
"1974","total energy consumed by the industrial sector United States","31752143","billion btu"
"1975","total energy consumed by the industrial sector United States","29404665","billion btu"
"1976","total energy consumed by the industrial sector United States","31382672","billion btu"
"1977","total energy consumed by the industrial sector United States","32255385","billion btu"
"1978","total energy consumed by the industrial sector United States","32700049","billion btu"
"1979","total energy consumed by the industrial sector United States","33899793","billion btu"
"1980","total energy consumed by the industrial sector United States","32043188","billion btu"
"1981","total energy consumed by the industrial sector United States","30716284","billion btu"
"1982","total energy consumed by the industrial sector United States","27578390","billion btu"
"1983","total energy consumed by the industrial sector United States","27380370","billion btu"
"1984","total energy consumed by the industrial sector United States","29518094","billion btu"
"1985","total energy consumed by the industrial sector United States","28820137","billion btu"
"1986","total energy consumed by the industrial sector United States","28258580","billion btu"
"1987","total energy consumed by the industrial sector United States","29339446","billion btu"
"1988","total energy consumed by the industrial sector United States","30678444","billion btu"
"1989","total energy consumed by the industrial sector United States","31291814","billion btu"
"1990","total energy consumed by the industrial sector United States","31766363","billion btu"
"1991","total energy consumed by the industrial sector United States","31340964","billion btu"
